# 被剔除的模型（共 316 个）
# id	reason
24221	missing_bin
24244	missing_bin
24369	missing_bin
24391	missing_bin
24560	missing_bin
24660	missing_bin
24695	missing_bin
24762	missing_bin
24802	missing_bin
24807	missing_bin
24879	missing_bin
25077	missing_bin
25103	missing_bin
25161	missing_bin
25231	missing_bin
25397	missing_bin
25482	missing_bin
25548	missing_bin
25581	missing_bin
25606	bbox_extent_gt_100mm
25738	missing_bin
25948	missing_bin
25970	missing_bin
26008	missing_bin
26116	bbox_extent_gt_100mm
26238	missing_bin
26333	missing_bin
26432	missing_bin
26434	missing_bin
26518	missing_bin
26532	missing_bin
26657	missing_bin
26661	bbox_extent_gt_100mm
26673	bbox_extent_gt_100mm
26782	missing_bin
26789	missing_bin
26849	missing_bin
27050	missing_bin
27132	missing_bin
27257	missing_bin
27273	missing_bin
27280	missing_bin
27387	missing_bin
27445	missing_bin
27452	missing_bin
27493	missing_bin
27608	missing_bin
27785	missing_bin
27891	bbox_extent_gt_100mm
27931	missing_bin
28081	missing_bin
28119	missing_bin
28121	missing_bin
28231	missing_bin
28404	missing_bin
28405	missing_bin
28705	missing_bin
28724	missing_bin
28761	missing_bin
28771	missing_bin
28819	missing_bin
28827	missing_bin
28909	missing_bin
29103	bbox_extent_gt_100mm
29252	missing_bin
29371	missing_bin
29435	missing_bin
29557	missing_bin
29650	missing_bin
29707	missing_bin
29711	missing_bin
29720	missing_bin
29740	missing_bin
29982	missing_bin
