id,status,add_extent,optimal_extent,n_faces
10094,ok,47.9593,47.9593,20
10095,ok,35.1499,35.1499,27
10096,ok,24.1242,24.1242,13
10097,ok,36.3851,36.3851,37
10098,ok,43.5086,43.5086,20
10099,ok,46.1571,46.1571,17
101,ok,35.4525,35.4525,16
1010,ok,37.5146,37.5146,17
10100,ok,40.1731,40.1731,21
10101,ok,34.8801,34.8801,22
10102,ok,43.9628,43.9628,51
10103,ok,41.5892,40.3967,28
10104,ok,43.3239,43.3239,20
10105,ok,49.2150,49.2150,32
10106,ok,46.9510,46.9510,20
10107,ok,30.3602,30.3602,30
10108,ok,49.7283,49.7283,25
10109,ok,36.0755,36.0755,18
1011,ok,30.9984,30.9984,29
10110,ok,40.8691,40.8691,26
10111,ok,44.6407,44.6407,24
10112,ok,33.0890,33.0890,15
10113,ok,46.5323,46.5323,20
10114,ok,45.5728,45.5728,22
10116,ok,48.7388,48.7388,26
10117,ok,44.5543,44.5543,33
10118,ok,37.2282,37.2282,22
10119,ok,45.4488,45.4478,26
1012,ok,34.7481,34.7481,18
10120,ok,44.3524,44.3524,29
10121,ok,46.4292,44.8462,26
10122,ok,47.3939,47.3939,28
10123,ok,38.2667,38.2667,26
10126,ok,27.4451,27.4451,21
10127,ok,35.8435,35.8435,21
10128,ok,42.9670,42.9670,22
10129,ok,40.6394,40.6394,15
1013,ok,27.8260,27.8260,11
10130,ok,33.4054,33.4054,17
10131,ok,44.7384,44.7384,18
10132,ok,26.9745,26.9745,14
10133,ok,47.1496,47.1496,12
10134,ok,39.4295,39.4295,24
10135,ok,44.8124,44.8124,41
10136,ok,48.5349,48.5349,17
10137,ok,39.9870,39.9870,25
10138,ok,31.1951,31.1951,56
10139,ok,49.3890,49.3890,28
1014,ok,40.6681,40.6681,31
10140,ok,33.7688,33.7688,23
10141,ok,28.5906,28.3470,24
10142,ok,41.2694,41.2694,22
10143,ok,33.7296,33.7296,26
10144,ok,43.1084,43.1084,23
10145,ok,38.6412,38.6412,18
10146,ok,24.5937,22.3007,27
10147,ok,49.7027,49.7027,13
10148,ok,48.2277,48.2277,25
10149,ok,36.4722,32.4948,24
1015,ok,27.9610,27.9610,11
10150,ok,32.1701,32.1701,24
10151,ok,38.8627,38.8627,17
10152,ok,39.2943,39.2943,42
10153,ok,40.8458,40.8458,16
10154,ok,25.5274,25.5274,44
10155,ok,43.7297,43.7297,14
10156,ok,42.9257,42.9257,27
10157,ok,43.8862,43.8862,36
10158,ok,30.4841,30.4841,25
10159,ok,31.2640,31.2640,10
1016,ok,30.9399,30.9399,23
10160,ok,28.7525,28.7525,26
10161,ok,21.4949,21.4949,24
10162,ok,49.8581,49.8581,17
10163,ok,45.5356,45.5356,23
10164,ok,39.2790,39.2790,48
10165,ok,31.2819,31.2819,29
10166,ok,47.2786,47.2786,16
10167,ok,18.2475,18.2475,22
10168,ok,42.7354,38.0750,20
10169,ok,38.0605,38.0605,28
10170,ok,49.6813,48.2059,17
10171,ok,42.6355,42.6354,12
10172,ok,39.5959,39.5959,27
10173,ok,45.9234,45.9234,26
10174,ok,44.0092,44.0092,24
10175,ok,47.6080,42.4163,15
10176,ok,34.1134,34.1134,13
10177,ok,47.1196,47.1196,14
10178,ok,48.7481,48.7481,43
10179,ok,47.1376,47.1376,26
1018,ok,47.3124,47.3124,12
10180,ok,40.7164,40.7164,20
10181,ok,29.3680,29.3680,20
10182,ok,28.4049,28.4049,15
10183,ok,46.5597,46.5597,12
10184,ok,43.9665,43.9665,21
10185,ok,48.0565,48.0565,27
10186,ok,36.9668,36.9668,17
10187,ok,49.8365,49.8365,24
10188,ok,34.4048,34.4048,19
10189,ok,27.1991,27.1991,18
1019,ok,45.7110,45.7110,25
10190,ok,41.0460,41.0460,18
10191,ok,42.0101,42.0101,18
10192,ok,37.7842,37.7842,15
10193,ok,44.0587,44.0587,21
10195,ok,40.9679,40.9679,22
10196,ok,32.7329,32.7329,27
10197,ok,26.7052,26.7052,26
10198,ok,15.1588,15.1588,9
102,ok,39.9097,39.9097,31
1020,ok,47.6682,47.6682,16
10200,ok,27.7286,27.7286,37
10201,ok,31.1429,31.1429,16
10202,ok,40.6737,40.6737,29
10203,ok,32.7394,32.7394,33
10204,ok,47.0556,47.0556,12
10205,ok,47.9348,47.9348,25
10206,ok,49.9083,49.9083,16
10207,ok,48.9659,48.9659,24
10208,ok,47.5153,47.5153,15
10209,ok,43.9036,43.9036,20
1021,ok,48.8158,48.5937,21
10210,ok,47.0203,47.0203,36
10211,ok,46.4413,46.4413,15
10212,ok,39.8319,39.8319,21
10213,ok,42.7611,42.7611,22
10214,ok,40.8046,40.8046,18
10215,ok,32.2100,32.2100,24
10216,ok,42.6356,42.6356,15
10217,ok,36.9662,36.9662,28
10218,ok,49.1354,49.1354,28
10219,ok,37.3270,37.3270,20
1022,ok,41.6153,41.6153,27
10220,ok,47.4797,47.4797,25
10221,ok,25.1507,25.1507,16
10222,ok,47.0173,47.0173,9
10223,ok,46.7550,46.7550,20
10224,ok,41.6400,41.6400,23
10225,ok,38.4036,38.4036,27
10226,ok,35.1518,35.1518,17
10227,ok,49.2162,49.2162,13
10228,ok,44.3633,44.3633,15
10229,ok,52.0475,46.3716,29
1023,ok,26.0727,26.0727,25
10230,ok,33.0597,33.0597,16
10231,ok,44.8274,44.8274,13
10232,ok,49.1961,49.1937,32
10233,ok,43.6985,43.6985,27
10234,ok,48.7397,48.7397,35
10235,ok,28.4867,28.4867,22
10236,ok,38.6509,38.6509,17
10237,ok,39.9690,39.9690,30
10238,ok,48.2418,48.2418,42
10239,ok,40.9458,40.9458,25
1024,ok,42.9846,42.9846,27
10240,ok,41.1803,41.1803,19
10241,ok,46.5347,46.5347,23
10242,ok,48.5837,48.5837,27
10243,ok,43.7421,43.7421,19
10244,ok,47.4423,47.4423,32
10245,ok,36.5445,36.5445,26
10246,ok,49.8628,49.8628,26
10247,ok,46.8038,46.8038,22
10248,ok,38.0952,38.0952,25
10249,ok,36.1794,36.1794,24
1025,ok,35.5326,35.5326,20
10250,ok,45.5854,45.5854,28
10251,ok,30.3106,30.3106,16
10252,ok,46.9939,44.5617,18
10253,ok,46.4201,46.4201,33
10254,ok,49.8840,49.8840,13
10255,ok,31.5425,31.5425,13
10256,ok,47.7652,47.7652,25
10257,ok,48.9452,48.9452,29
10258,ok,44.2095,44.2095,15
10259,ok,48.7615,48.7615,20
1026,ok,26.8458,26.8458,43
10260,ok,46.2284,45.3738,31
10261,ok,39.2521,39.2521,27
10262,ok,32.2455,32.2455,30
10263,ok,45.6955,45.6955,14
10264,ok,32.9010,32.9010,19
10265,ok,32.7837,32.7837,40
10266,ok,45.2600,45.2600,21
10267,ok,46.6758,46.6758,27
10268,ok,42.1679,42.1679,13
10269,ok,41.0638,41.0638,30
1027,ok,39.3118,39.3118,20
10271,ok,43.8517,41.5517,30
10272,ok,40.3021,40.3021,29
10273,ok,45.0904,45.0904,17
10274,ok,42.9665,42.9665,13
10275,ok,31.3197,31.3197,33
10276,ok,39.9998,39.9998,20
10277,ok,43.7988,43.7988,29
10278,ok,46.1736,46.1736,17
10279,ok,38.1270,38.1270,30
1028,ok,21.5948,21.5948,20
10280,ok,48.6653,43.3251,33
10281,ok,48.9675,48.9675,17
10282,ok,45.3224,45.3224,20
10283,ok,36.6762,36.6762,37
10284,ok,48.1898,48.1898,18
10285,ok,44.6015,44.6015,18
10286,ok,47.9540,47.9540,40
10287,ok,40.5477,40.2066,30
10288,ok,35.4683,35.4683,23
10289,ok,45.9796,45.9796,25
1029,ok,32.1514,32.1514,30
10290,ok,28.2152,28.2152,16
10291,ok,30.9721,30.9721,24
10292,ok,31.6119,31.6119,23
10293,ok,45.3530,45.3530,19
10294,ok,36.8850,36.8850,20
10295,ok,35.2406,35.2406,15
10296,ok,48.2723,48.2723,25
10297,ok,49.1879,49.1879,20
10298,ok,43.3227,43.3227,30
10299,ok,46.2829,41.2356,25
103,ok,47.2972,47.2972,23
1030,ok,42.2981,42.2981,33
10300,ok,31.4076,31.4076,21
10301,ok,39.2026,39.2026,33
10302,ok,45.3385,45.3385,28
10303,ok,47.8043,47.8043,37
10304,ok,49.2429,49.2429,39
10305,ok,33.6552,33.6552,16
10306,ok,48.9529,48.9529,24
10307,ok,40.9756,40.9756,34
10308,ok,35.3240,35.3240,17
10309,ok,40.1744,40.1744,24
1031,ok,49.7200,49.7200,14
10310,ok,41.6064,41.6064,12
10311,ok,49.7613,49.7613,15
10312,ok,42.5947,42.5947,28
10313,ok,36.6036,36.6036,29
10314,ok,37.5658,36.5880,24
10315,ok,47.5726,47.5726,28
10316,ok,39.1614,39.1614,27
10317,ok,38.6327,38.6327,21
10318,ok,46.5339,46.5339,17
10319,ok,49.9859,49.9859,24
1032,ok,47.4715,47.4715,31
10320,ok,26.4405,26.4405,10
10321,ok,43.7549,43.7549,20
10322,ok,47.7472,47.7472,16
10323,ok,47.5625,47.5625,42
10324,ok,39.8793,39.8793,31
10325,ok,36.4164,35.8365,41
10326,ok,30.0308,30.0308,15
10327,ok,39.5365,39.5365,16
10328,ok,48.2611,48.2611,22
10329,ok,49.6626,49.6626,15
1033,ok,48.5131,48.5131,22
10330,ok,40.0515,40.0515,32
10331,ok,48.1662,48.1662,14
10332,ok,26.9702,26.9702,23
10333,ok,39.4050,39.4050,20
10335,ok,18.4101,18.4101,33
10336,ok,47.7944,47.7944,12
10338,ok,42.1570,42.1570,16
10339,ok,40.2301,40.2301,20
1034,ok,45.1816,42.9742,27
10340,ok,35.8860,35.8860,14
10341,ok,43.6533,43.6533,29
10342,ok,47.3324,47.3324,22
10343,ok,48.6868,48.2021,32
10344,ok,40.9827,40.9827,15
10345,ok,38.3043,38.3043,41
10346,ok,47.0193,47.0193,22
10347,ok,42.9845,42.9845,12
10348,ok,49.8699,49.8699,14
10349,ok,41.9443,41.9443,17
1035,ok,45.6575,45.6575,29
10350,ok,29.3860,29.3860,21
10351,ok,42.8924,42.8924,14
10352,ok,48.0924,48.0924,44
10353,ok,28.7753,28.7753,14
10354,ok,33.7981,33.7981,38
10355,ok,42.7725,42.7725,22
10356,ok,37.5641,37.5641,27
10358,ok,32.3508,32.3508,22
10359,ok,38.5521,38.5521,18
1036,ok,18.2596,18.2596,24
10360,ok,33.4442,33.4442,13
10361,ok,42.9102,42.9102,39
10362,ok,28.0824,28.0824,33
10363,ok,47.9698,47.9698,18
10364,ok,40.9023,40.9023,30
10365,ok,39.5403,39.5403,15
10366,ok,32.9567,32.9567,17
10367,ok,49.5457,49.5457,25
10368,ok,49.9917,49.9917,37
10369,ok,33.2721,33.2721,15
1037,ok,48.8899,48.8899,23
10370,ok,45.7859,45.7859,30
10371,ok,24.7951,22.0911,23
10372,ok,46.9122,46.9122,36
10373,ok,48.9248,48.9248,16
10374,ok,42.2901,42.2901,16
10375,ok,49.0859,49.0859,16
10376,ok,44.2388,44.2388,22
10377,ok,33.0336,33.0336,14
10378,ok,41.2880,41.2880,16
10379,ok,30.7976,30.7976,19
10380,ok,46.1657,46.1657,33
10381,ok,43.0490,43.0490,24
10382,ok,41.3466,41.3466,26
10383,ok,26.9387,26.9387,31
10384,ok,42.1972,42.1972,29
10385,ok,27.6767,27.6767,42
10386,ok,48.0880,48.0880,24
10387,ok,46.5295,46.5295,33
10388,ok,53.8675,47.9932,14
10389,ok,48.9909,48.9909,21
1039,ok,38.0316,38.0316,31
10390,ok,44.9671,44.9671,24
10391,ok,47.7184,47.7184,24
10392,ok,26.6646,26.6646,22
10393,ok,48.0268,48.0268,28
10394,ok,41.6433,41.6433,19
10395,ok,45.3878,45.3878,22
10396,ok,35.4169,35.4169,18
10397,ok,30.8531,30.8531,9
10398,ok,38.9881,38.9881,31
10399,ok,45.7248,45.7248,17
104,ok,49.8571,49.8571,30
1040,ok,39.9370,39.9370,24
10400,ok,48.1879,46.9860,37
10401,ok,42.0087,42.0087,18
10402,ok,36.0781,36.0781,35
10403,ok,47.6620,47.6620,17
10405,ok,39.8530,39.8530,8
10406,ok,29.9608,29.9608,36
10407,ok,21.7814,21.7814,20
10408,ok,39.4157,39.4157,23
10409,ok,37.6095,37.6095,12
1041,ok,38.2602,38.2602,27
10410,ok,37.2994,37.2994,18
10411,ok,36.6132,36.6132,28
10412,ok,45.4342,45.4342,27
10413,ok,43.2159,43.2159,14
10414,ok,44.8816,44.8816,32
10415,ok,42.7637,42.7637,20
10416,ok,40.6712,40.6712,18
10417,ok,48.7775,45.7130,18
10418,ok,43.8640,43.8640,14
10419,ok,43.3932,43.3932,20
1042,ok,47.5051,47.5051,22
10420,ok,31.2461,30.8987,15
10421,ok,46.6853,46.6853,9
10422,ok,41.1604,41.1604,32
10423,ok,43.2700,43.2700,27
10424,ok,38.3744,38.3744,23
10425,ok,39.8558,39.8558,24
10426,ok,48.2584,48.2584,24
10427,ok,44.4850,44.4850,15
10428,ok,47.6318,47.6318,24
10429,ok,27.3079,27.3079,17
1043,ok,33.5443,33.5443,12
10430,ok,47.8955,47.8955,38
10431,ok,46.1000,46.1000,11
10432,ok,45.9597,45.9597,21
10433,ok,39.5850,39.5850,15
10434,ok,45.0266,45.0266,28
10435,ok,23.1626,23.1626,30
10436,ok,46.5411,46.5411,23
10437,ok,44.1667,44.1667,19
10438,ok,46.9976,46.9976,30
10439,ok,42.6086,42.6086,38
1044,ok,40.9183,40.9183,31
10440,ok,42.2596,42.2596,20
10441,ok,46.2372,46.2372,23
10442,ok,36.3351,36.3351,9
10443,ok,29.6649,29.6649,30
10444,ok,45.1902,45.1902,19
10445,ok,46.1176,46.1176,41
10446,ok,27.5044,27.5044,23
10447,ok,45.1205,45.1205,30
10448,ok,43.0447,43.0447,17
10449,ok,37.5985,37.5985,31
1045,ok,30.5677,30.5677,19
10450,ok,43.8489,43.8489,18
10451,ok,30.3649,30.3649,23
10452,ok,26.4472,26.4472,24
10453,ok,44.5190,44.5190,19
10454,ok,53.2967,47.4846,24
10455,ok,47.8579,47.8579,20
10456,ok,27.4710,27.4710,41
10457,ok,52.7790,47.0233,12
10458,ok,24.2957,24.2957,22
10459,ok,40.1055,40.1055,19
1046,ok,35.9830,35.9830,13
10460,ok,18.3967,18.3967,34
10461,ok,48.0497,48.0497,21
10463,ok,43.7310,43.7310,15
10465,ok,39.2428,39.2428,30
10466,ok,47.2446,47.2446,29
10467,ok,35.0987,35.0987,29
10468,ok,36.6261,36.6261,26
10469,ok,32.6710,32.6710,16
1047,ok,49.5015,49.5015,30
10470,ok,47.0328,47.0328,19
10471,ok,48.6096,48.6096,19
10472,ok,45.0695,45.0695,25
10473,ok,47.0727,47.0727,30
10474,ok,40.5575,40.5575,12
10475,ok,38.8568,38.8568,38
10476,ok,39.3611,39.3611,38
10477,ok,47.2409,47.2409,36
10478,ok,42.4545,41.9790,24
10479,ok,36.5616,36.5616,9
1048,ok,47.9389,47.9389,13
10480,ok,46.8980,46.8980,14
10481,ok,49.3562,49.3562,26
10482,ok,32.5100,31.7412,26
10483,ok,48.7465,48.7465,32
10484,ok,37.2633,37.2633,16
10485,ok,40.9363,40.9363,15
10486,ok,49.2246,48.9937,25
10487,ok,34.5334,34.5334,29
10488,ok,40.4477,40.4477,22
10489,ok,48.3682,43.0935,31
1049,ok,36.5695,36.5695,19
10490,ok,41.6782,41.6782,21
10491,ok,47.9719,47.9719,19
10492,ok,36.7359,36.7359,27
10493,ok,31.9037,31.9037,15
10494,ok,42.3551,42.3551,27
10495,ok,38.3761,38.3761,22
10496,ok,24.5009,24.5009,38
10497,ok,26.8687,26.8687,14
10498,ok,43.1374,43.1374,16
10499,ok,18.4910,18.4910,15
105,ok,29.4041,29.4041,38
1050,ok,42.7511,42.7511,24
10500,ok,44.2307,44.2307,15
10501,ok,48.8856,48.8856,36
10502,ok,45.5493,45.5493,21
10503,ok,46.1968,46.1968,34
10504,ok,21.6205,21.6205,27
10505,ok,46.1024,46.1024,33
10506,ok,43.0184,43.0184,18
10507,ok,42.0794,42.0794,20
10508,ok,26.6061,26.6061,40
10509,ok,41.6868,41.6868,11
1051,ok,49.1058,49.1058,24
10510,ok,54.6454,48.6862,20
10511,ok,34.1899,34.1899,18
10512,ok,40.4167,40.4167,21
10513,ok,48.0610,48.0610,25
10514,ok,49.1346,49.1346,9
10515,ok,45.5079,45.5079,19
10516,ok,43.6833,43.6833,32
10517,ok,39.7106,39.7106,31
10518,ok,45.9273,45.9273,12
10519,ok,40.1193,40.1193,21
1052,ok,46.5217,46.5217,23
10520,ok,27.5570,27.5570,22
10521,ok,37.8101,37.8101,15
10522,ok,48.1442,48.1442,26
10523,ok,34.7652,34.7652,14
10524,ok,44.1814,43.4397,29
10525,ok,33.4296,33.4296,33
10526,ok,41.3474,41.3474,28
10527,ok,29.0419,29.0419,32
10528,ok,33.7430,33.7430,37
10529,ok,40.4663,40.4663,25
1053,ok,34.6072,34.6072,18
10530,ok,49.1299,49.1299,21
10531,ok,45.6545,45.6545,35
10532,ok,43.6789,43.6789,14
10533,ok,45.8463,45.8463,14
10534,ok,45.5594,45.5594,25
10535,ok,41.8039,41.8039,38
10536,ok,30.4899,30.4899,12
10537,ok,45.0500,45.0500,29
10538,ok,26.8577,26.8577,11
10539,ok,45.4557,45.4557,43
1054,ok,38.2427,38.2427,29
10540,ok,49.9986,49.9986,18
10541,ok,33.5659,33.5659,23
10542,ok,48.6616,48.6616,17
10543,ok,34.0594,34.0594,35
10544,ok,31.3026,31.3026,22
10545,ok,46.9985,46.9985,43
10546,ok,44.3572,44.3572,19
10547,ok,46.0774,46.0774,20
10548,ok,49.1258,48.3042,42
10549,ok,47.4120,47.4120,18
1055,ok,46.4838,46.4838,13
10550,ok,48.3955,48.3955,41
10551,ok,46.2350,46.2350,26
10552,ok,43.1905,43.1905,31
10553,ok,40.1916,40.1916,17
10554,ok,49.2706,49.2706,24
10555,ok,33.3504,33.3504,21
10556,ok,49.7232,49.7232,30
10557,ok,33.5973,33.5973,33
10558,ok,46.6569,46.6569,31
10559,ok,27.7301,27.7301,28
1056,ok,46.3567,46.3567,16
10560,ok,38.0062,38.0062,29
10561,ok,48.7554,48.7554,25
10562,ok,36.6195,36.6195,11
10563,ok,48.0302,48.0302,9
10564,ok,32.6711,32.6711,31
10565,ok,37.9670,37.9670,21
10566,ok,39.1459,39.1459,16
10567,ok,40.1222,40.1222,19
10568,ok,26.9642,26.9642,26
10569,ok,48.9254,48.9254,13
1057,ok,47.9433,42.7150,24
10570,ok,48.4729,48.4729,17
10571,ok,33.6747,33.6747,29
10572,ok,45.5066,45.5066,31
10573,ok,34.9417,34.9417,12
10574,ok,43.3158,43.3158,29
10575,ok,44.8012,44.8012,34
10576,ok,42.2478,42.2478,16
10577,ok,49.7846,49.7846,21
10578,ok,37.4422,37.4422,20
10579,ok,25.6246,25.6246,33
1058,ok,18.8909,18.8909,24
10580,ok,47.8498,47.8498,42
10581,ok,34.1663,34.1663,49
10582,ok,39.6567,39.6567,15
10583,ok,41.3044,41.3044,19
10584,ok,49.4531,49.4531,27
10585,ok,36.2699,36.2699,19
10586,ok,31.2434,31.2434,22
10587,ok,45.7445,45.7445,25
10588,ok,39.1081,39.1081,22
10589,ok,48.1382,48.1382,19
1059,ok,43.6151,43.6151,34
10590,ok,48.3020,47.0252,14
10591,ok,44.6472,44.6472,16
10592,ok,421.0492,47.9666,29
10593,ok,37.9365,37.9365,30
10594,ok,46.8030,46.8030,29
10595,ok,49.2321,49.2271,25
10596,ok,37.1453,37.1453,30
10597,ok,36.4491,36.4491,31
10598,ok,42.3681,42.3681,29
10599,ok,40.5250,40.5250,32
106,ok,29.5340,29.5340,31
1060,ok,49.7457,49.7457,21
10600,ok,39.9775,39.9775,12
10601,ok,40.7097,40.7097,26
10602,ok,40.7622,40.7622,26
10603,ok,46.4196,46.4196,16
10604,ok,39.6334,38.9354,18
10605,ok,49.2743,49.2743,11
10606,ok,38.6319,38.6319,41
10607,ok,49.1696,49.1696,18
10608,ok,50.7663,45.2302,12
10609,ok,42.3422,42.3422,16
1061,ok,44.9886,44.9886,21
10610,ok,42.0218,42.0218,25
10611,ok,47.8033,47.8033,21
10612,ok,37.5108,37.5108,21
10613,ok,18.8614,18.8614,36
10614,ok,29.0359,29.0359,46
10615,ok,46.2261,46.2261,27
10616,ok,48.0765,48.0765,20
10617,ok,38.6068,38.6068,17
10618,ok,37.4412,37.4412,15
10619,ok,40.8819,40.8819,15
1062,ok,48.8265,48.8265,37
10620,ok,42.5251,42.5251,32
10621,ok,19.4532,19.4532,27
10622,ok,28.8487,28.8487,28
10623,ok,45.0256,45.0256,26
10624,ok,42.8886,42.8886,27
10625,ok,54.1326,48.2293,25
10626,ok,47.3571,47.3571,15
10627,ok,42.7522,42.7522,23
10628,ok,39.8812,39.8812,27
10629,ok,43.7484,43.7484,12
1063,ok,36.2211,36.2211,36
10630,ok,29.0172,29.0172,37
10631,ok,49.5513,49.5513,20
10632,ok,41.3970,41.3970,14
10633,ok,43.7886,39.0134,19
10634,ok,34.8433,34.8433,39
10635,ok,36.0362,36.0362,26
10636,ok,43.7386,42.1062,18
10637,ok,41.6583,41.6583,17
10638,ok,46.6452,46.6452,15
10639,ok,31.7354,31.7354,26
1064,ok,41.3460,41.3460,14
10640,ok,48.3029,48.3029,40
10641,ok,44.6387,44.6387,25
10642,ok,26.4767,26.4767,20
10643,ok,45.2741,42.8105,40
10644,ok,36.3457,36.3457,18
10645,ok,50.5821,49.4650,38
10646,ok,28.5962,28.5962,25
10647,ok,32.6444,32.6444,30
10648,ok,44.8494,42.7029,25
10649,ok,37.5375,37.5375,12
1065,ok,40.3177,40.3177,18
10651,ok,41.7445,41.7445,23
10652,ok,49.2555,49.2555,21
10653,ok,40.1324,40.1324,36
10654,ok,48.3670,48.3670,23
10655,ok,46.2658,46.2658,34
10656,ok,48.0598,48.0598,27
10657,ok,40.1662,40.1662,21
10658,ok,48.2643,45.2841,17
1066,ok,40.2559,40.2559,23
10660,ok,48.8510,48.8510,17
10661,ok,35.8815,35.8815,18
10662,ok,49.6001,49.6001,27
10663,ok,37.9856,37.9856,35
10664,ok,42.9913,42.9913,14
10665,ok,34.2766,34.2766,26
10666,ok,23.5709,23.5709,22
10667,ok,40.2443,40.2443,29
10668,ok,19.9496,19.9496,13
10669,ok,47.9091,47.9091,40
1067,ok,42.4534,42.4534,30
10670,ok,41.2971,41.2971,23
10671,ok,29.6340,29.6340,15
10672,ok,43.6683,43.6683,29
10673,ok,43.7633,43.7633,32
10674,ok,46.7414,46.7414,13
10675,ok,49.0019,49.0019,26
10676,ok,49.3530,49.3530,17
10677,ok,38.8341,38.8341,29
10678,ok,5666.5829,1291.5515,31
10679,ok,39.4208,39.4208,20
1068,ok,48.0990,48.0990,35
10680,ok,39.9430,39.9430,16
10681,ok,45.2630,45.2630,16
10682,ok,49.7864,49.7864,35
10683,ok,49.0161,49.0161,20
10684,ok,43.4492,43.4492,26
10686,ok,46.0715,46.0715,39
10687,ok,41.8097,41.8097,19
10688,ok,41.7620,41.7620,42
10689,ok,29.9813,29.9813,26
1069,ok,38.8600,38.8600,35
10690,ok,43.8126,43.8126,14
10691,ok,38.4882,38.4882,28
10692,ok,26.0161,26.0161,28
10693,ok,33.1515,33.1515,34
10694,ok,47.0672,47.0672,11
10695,ok,23.9521,23.9521,12
10696,ok,37.1151,37.1151,23
10697,ok,43.7044,43.7044,18
10698,ok,36.3353,36.3353,23
10699,ok,35.6066,35.6066,49
107,ok,44.7085,44.7085,14
1070,ok,40.1323,40.1323,15
10700,ok,38.6052,38.6052,27
10701,ok,48.2021,48.2021,23
10702,ok,33.7293,33.7293,20
10703,ok,45.0215,45.0215,23
10704,ok,34.0498,34.0498,18
10705,ok,21.0759,21.0759,27
10706,ok,49.9158,49.9158,39
10707,ok,46.1782,46.1782,37
10708,ok,23.5903,23.5903,18
10709,ok,40.2614,40.2614,16
1071,ok,46.3171,44.7018,20
10710,ok,25.7062,25.7062,21
10711,ok,44.9772,44.9772,31
